종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"227950","엔투텍","KOSDAQ","중견기업부","352","17","5.07","335","359","335","963618","337565054","60561907497","172541047"
"291230","엔피","KOSDAQ","중견기업부","808","-2","-0.25","820","826","807","102678","83335666","35629386200","44095775"
"048830","엔피케이","KOSDAQ","중견기업부","939","2","0.21","937","945","936","31430","29491559","17581763697","18723923"
"096870","엘디티","KOSDAQ","벤처기업부","2475","-260","-9.51","2700","2700","2445","345541","872347124","20869997500","8347999"
"276240","엘리비젼","KONEX","일반기업부","450","38","9.22","450","450","450","1","450","5540912100","12313138"
"900140","엘브이엠씨홀딩스","KOSPI",,"1495","-10","-0.66","1510","1522","1490","689451","1032804792","289474167136","193240432"
"290650","엘앤씨바이오","KOSDAQ","우량기업부","62100","-300","-0.48","61600","63500","60400","455002","28184809200","1528830585000","24618850"
"066970","엘앤에프","KOSPI",,"96300","2000","2.12","93300","98200","92500","685076","65651419700","3866245228000","40231480"
"156100","엘앤케이바이오","KOSDAQ","벤처기업부","14050","740","5.56","13420","14330","13000","413799","5770582840","306100395250","21786505"
"0041J0","엘에스스팩1호","KOSDAQ","SPAC(소속부없음)","2005","5","0.25","2005","2010","2000","13237","26511861","8240550000","4110000"
"311060","엘에이티","KONEX","일반기업부","3095","-180","-5.50","3020","3100","3020","168","513665","24224979730","7827134"
"073110","엘엠에스","KOSDAQ","벤처기업부","4920","-35","-0.71","4965","4965","4910","4576","22533925","43722635825","8895755"
"083310","엘오티베큠","KOSDAQ","우량기업부","13660","340","2.55","13580","13950","13320","225148","3068257650","242750749790","17810033"
"037950","엘컴텍","KOSDAQ","중견기업부","825","25","3.13","793","828","792","656993","536198212","69753650694","84447519"
"489500","엘케이켐","KOSDAQ","벤처기업부","35450","-650","-1.80","36400","37950","34100","494893","17682504775","222557085200","6278056"
"170920","엘티씨","KOSDAQ","벤처기업부","22400","2000","9.80","20700","22650","20600","685724","14805946850","236108216100","10564126"
"058630","엠게임","KOSDAQ","우량기업부","6470","-190","-2.85","6670","6690","6220","69023","451572590","126839761730","19543877"
"226590","엠디바이스","KOSDAQ","기술성장기업부","15590","-20","-0.13","15800","16000","14750","449878","6882123290","166690693120","10630784"
"058970","엠로","KOSDAQ","기술성장기업부","37750","-650","-1.69","38750","38750","37200","73060","2760449550","466572559500","12359538"
"169330","엠브레인","KOSDAQ","투자주의환기종목(소속부없음)","1904","-16","-0.83","1920","1920","1894","9620","18275492","34820461118","18316918"
"097520","엠씨넥스","KOSPI",,"28400","-600","-2.07","29200","29350","28150","71584","2039908400","494202600000","17401500"
"373170","엠아이큐브솔루션","KOSDAQ","벤처기업부","7370","0","0.00","7370","7490","7220","8184","59839090","37129544100","5037930"
"179290","엠아이텍","KOSDAQ","우량기업부","7550","530","7.55","7380","7680","7210","790731","5945388070","241771614660","32365678"
"484870","엠앤씨솔루션","KOSPI",,"144700","3700","2.62","141100","144700","140200","22119","3171513050","1311753870000","9153900"
"009780","엠에스씨","KOSDAQ","우량기업부","7990","-70","-0.87","8060","8150","7940","22851","182709820","140624000000","17600000"
"123040","엠에스오토텍","KOSDAQ","우량기업부","2150","-75","-3.37","2225","2235","2140","113037","245258773","134650842850","62628299"
"432980","엠에프씨","KOSDAQ","기술성장기업부","3505","0","0.00","3600","3600","3445","3789","13266315","30114055710","8591742"
"413390","엠오티","KOSDAQ","중견기업부","7700","850","12.41","6890","8110","6870","1951987","14942159705","89167386000","11580180"
"032790","엠젠솔루션","KOSDAQ","벤처기업부","1015","-33","-3.15","1041","1063","1013","232156","238253529","50607958870","49860058"
"033160","엠케이전자","KOSDAQ","중견기업부","8680","200","2.36","8590","8850","8550","300615","2609543245","196589376000","22596480"
"347890","엠투아이","KOSDAQ","벤처기업부","6870","280","4.25","6650","6930","6540","245602","1673276530","116193711480","16913204"
"033310","엠투엔","KOSDAQ","우량기업부","1798","-7","-0.39","1839","1839","1780","38161","68488221","72575673569","40342231"
